POŘADOVÉ_ČÍSLO;NÁZEV_SPOLEČNOSTI;CELKEM_V_KČ
200072;Martin Nový;2138393
200073;Epic Internet a.s.;492178
200074;18581928;1237156
200075;67821984;1846330
200076;18581928;1401840
200077;Big žirafa s.r.o.;2646250
200078;GreenStyles.;550320
200079;ZCZ;731659
200080;Epic Internet a.s.;1824664
200081;BlueNet, s.r.o.;285821
200082;Epic Internet a.s.;2555513
200083;Epic Internet a.s.;2738844
200084;GreenStyles.;2048089
200085;GreenStyles.;469958
200086;18581928;1937227
200087;GreenStyles.;1397993
200088;92019399;1337703
200089;Epic Internet a.s.;1604871
200090;92019399;2238408
200091;92019399;320713
200092;Big žirafa s.r.o.;1332375
200093;18581928;403231
200094;Epic Internet a.s.;1277723
200095;18581928;1703714
200096;Martin Nový;2335686
200097;Epic Internet a.s.;173582
200098;Valza;2186080
200099;Big žirafa s.r.o.;2503875
200100;ZCZ;1238594
200101;Martin Nový;827626
200102;Valza;1728995
200103;BlueNet, s.r.o.;99630
200104;Epic Internet a.s.;2395737
200105;Martin Nový;646838
200106;Valza;1879932
200107;Epic Internet a.s.;778288
200108;ZCZ;2029600
200109;92019399;1200934
200110;ZCZ;2700685
200111;67821984;480025
200112;BlueNet, s.r.o.;1173986
200113;92019399;708542
200114;Big žirafa s.r.o.;2126413
200115;67821984;1620591
200116;GreenStyles.;2711012
200117;67821984;2669561
200118;ZCZ;2870798
200119;Big žirafa s.r.o.;191697
200120;GreenStyles.;2795952
200121;18581928;2994501
200122;ZCZ;2876298
200123;92019399;396701
200124;BlueNet, s.r.o.;1882261
200125;Epic Internet a.s.;282412
200126;18581928;1398967
200127;67821984;447384
200128;92019399;2237920
200129;Valza;2448272
200130;BlueNet, s.r.o.;1312837
200131;GreenStyles.;2206116
200132;GreenStyles.;276044
200133;Martin Nový;2952242
200134;BlueNet, s.r.o.;1503684
200135;Martin Nový;2099916
200136;BlueNet, s.r.o.;2198050
200137;GreenStyles.;1084322
200138;18581928;2518188
200139;Martin Nový;1172521
200140;67821984;2068387
200141;ZCZ;595154
200142;18581928;1876024
200143;BlueNet, s.r.o.;1890805
200144;ZCZ;466370
200145;67821984;2406426
200146;67821984;1308813
200147;BlueNet, s.r.o.;1412142
200148;Big žirafa s.r.o.;2983851
200149;GreenStyles.;2286898
200150;Martin Nový;417640
200151;ZCZ;167693
200152;18581928;962353
200153;Martin Nový;2102492
200154;Epic Internet a.s.;2217668
200155;ZCZ;2122489
200156;ZCZ;2608157
200157;18581928;709170
200158;Valza;460222
200159;18581928;2637131
200160;67821984;42421
200161;92019399;823385
200162;BlueNet, s.r.o.;377309
200163;Epic Internet a.s.;2447326
200164;ZCZ;1181753
200165;Martin Nový;431016
200166;67821984;1726950
200167;Valza;2771811
200168;Martin Nový;1786329
200169;BlueNet, s.r.o.;342851
200170;Martin Nový;2047642
200171;GreenStyles.;580258
200172;BlueNet, s.r.o.;2774905
200173;18581928;757811
200174;GreenStyles.;2993075
200175;18581928;1355472
200176;Martin Nový;1713067
200177;92019399;1291274
200178;67821984;1353748
200179;Martin Nový;672542
200180;Martin Nový;2137573
200181;BlueNet, s.r.o.;1100306
200182;Martin Nový;566
200183;67821984;2755482
200184;Valza;885554
200185;GreenStyles.;1085482
200186;Epic Internet a.s.;242140
200187;18581928;342993
200188;ZCZ;816956
200189;BlueNet, s.r.o.;2767798
200190;Epic Internet a.s.;550088
200191;ZCZ;2640571
200192;GreenStyles.;1133458
200193;GreenStyles.;2124340
200194;Martin Nový;526888
200195;Big žirafa s.r.o.;75249
200196;92019399;581405
200197;18581928;518233
200198;18581928;24794
200199;18581928;2439470
200200;ZCZ;2534326
200201;BlueNet, s.r.o.;2395350
200202;Martin Nový;1462033
200203;GreenStyles.;30114
200204;ZCZ;506175
200205;Valza;1856694
200206;67821984;428510
200207;67821984;2445627
200208;18581928;2864876
200209;67821984;1323744
200210;Martin Nový;1061748
200211;Big žirafa s.r.o.;268713
200212;GreenStyles.;586044
200213;BlueNet, s.r.o.;1851916
200214;ZCZ;2318354
200215;18581928;391519
200216;GreenStyles.;740268
200217;GreenStyles.;647279
200218;ZCZ;25159
200219;Martin Nový;2790208
200220;ZCZ;1658832
200221;BlueNet, s.r.o.;774910
200222;Martin Nový;1929937
200223;Martin Nový;1041537
200224;67821984;2201406
200225;GreenStyles.;2105416
200226;ZCZ;2311987
200227;67821984;2432046
200228;BlueNet, s.r.o.;816042
200229;Big žirafa s.r.o.;1356134
200230;Valza;1091850
200231;Big žirafa s.r.o.;2653592
200232;Valza;422500
200233;GreenStyles.;1865296
200234;Martin Nový;1682472
200235;92019399;393851
200236;Epic Internet a.s.;-3914
200237;GreenStyles.;2466335
200238;67821984;911401
200239;Martin Nový;1124572
200240;GreenStyles.;2409182
200241;Martin Nový;1655954
200242;67821984;801168
200243;BlueNet, s.r.o.;1194121
200244;Big žirafa s.r.o.;671571
200245;18581928;2012854
200246;67821984;1840024
200247;Epic Internet a.s.;2825169
200248;Martin Nový;544589
200249;Epic Internet a.s.;11956
200250;Epic Internet a.s.;2487865
200251;18581928;1887086
200252;Valza;823940
200253;67821984;325512
200254;Martin Nový;2687740
200255;GreenStyles.;1097219
200256;18581928;2545613
200257;Valza;2195961
200258;Martin Nový;227731
200259;GreenStyles.;615730
200260;Martin Nový;492275
200261;ZCZ;1997900
200262;Epic Internet a.s.;2844895
200263;ZCZ;991594
200264;Epic Internet a.s.;1126831
200265;Martin Nový;1203203
200266;Martin Nový;469061
200267;92019399;2968344
200268;Big žirafa s.r.o.;1729943
200269;Epic Internet a.s.;1876693
200270;ZCZ;1250383
200271;92019399;2410499
200272;Epic Internet a.s.;2649533
200273;92019399;2116051
200274;ZCZ;2097739
200275;ZCZ;322308
200276;ZCZ;2914738
200277;BlueNet, s.r.o.;2154592
200278;Valza;2953608
200279;92019399;759469
200280;GreenStyles.;1660244
200281;ZCZ;2567563
200282;Big žirafa s.r.o.;85805
200283;BlueNet, s.r.o.;2438637
200284;ZCZ;2819008
200285;92019399;1009422
200286;ZCZ;1327567
200287;GreenStyles.;2315381
200288;67821984;2737988
200289;Martin Nový;1606836
200290;BlueNet, s.r.o.;1599485
200291;92019399;1448583
200292;67821984;2628388
200293;Valza;344945
200294;Epic Internet a.s.;2301014
200295;Epic Internet a.s.;1496520
200296;ZCZ;509112
200297;67821984;1445929
200298;67821984;1702801
200299;Martin Nový;2280959
200300;67821984;1411621
200301;Martin Nový;2173094
200302;Epic Internet a.s.;243951
200303;GreenStyles.;2891825
200304;Epic Internet a.s.;43378
200305;Epic Internet a.s.;2956950
200306;ZCZ;1969053
200307;Valza;713609
200308;GreenStyles.;587964
200309;Big žirafa s.r.o.;2307934
200310;Big žirafa s.r.o.;985034
200311;Martin Nový;2436065
200312;GreenStyles.;2118970
200313;18581928;1975540
200314;Epic Internet a.s.;1445065
200315;GreenStyles.;1129278
200316;Valza;1447589
200317;BlueNet, s.r.o.;2941594
200318;67821984;1131107
200319;Martin Nový;790360
200320;18581928;1899806
200321;Big žirafa s.r.o.;2115117
200322;92019399;155500
200323;GreenStyles.;1108275
200324;ZCZ;1148485
200325;Valza;1603882
200326;67821984;577005
200327;Epic Internet a.s.;1112831
200328;Epic Internet a.s.;107088
200329;Martin Nový;2961354
200330;Epic Internet a.s.;1659308
200331;Martin Nový;1248416
200332;BlueNet, s.r.o.;686936
200333;ZCZ;1002408
200334;Big žirafa s.r.o.;2438714
200335;GreenStyles.;834350
200336;18581928;1443133
200337;92019399;225067
200338;Epic Internet a.s.;1311480
200339;GreenStyles.;620186
200340;GreenStyles.;2523368
200341;Valza;1812742
200342;BlueNet, s.r.o.;2295612
200343;Martin Nový;1752958
200344;67821984;2980553
200345;67821984;2683246
200346;Martin Nový;1508999
200347;BlueNet, s.r.o.;1712994
200348;18581928;1387013
200349;Big žirafa s.r.o.;2430737
200350;Big žirafa s.r.o.;135223
200351;Epic Internet a.s.;1440135
200352;Martin Nový;692152
200353;GreenStyles.;538589
200354;ZCZ;170251
200355;Epic Internet a.s.;2772694
200356;Martin Nový;2261890
200357;BlueNet, s.r.o.;1697799
200358;GreenStyles.;100615
200359;Valza;2465231
200360;Martin Nový;2869065
200361;Valza;1498061
200362;BlueNet, s.r.o.;295350
200363;92019399;946232
200364;GreenStyles.;672392
200365;GreenStyles.;603790
200366;GreenStyles.;116028
200367;Valza;690630
200368;Big žirafa s.r.o.;1344483
200369;Big žirafa s.r.o.;1336538
200370;BlueNet, s.r.o.;1962200
200371;GreenStyles.;2327862
200372;Epic Internet a.s.;2426289
200373;92019399;2277631
200374;Valza;2912275
200375;Epic Internet a.s.;1706827
200376;67821984;1017738
200377;Big žirafa s.r.o.;1178715
200378;Martin Nový;2229920
200379;ZCZ;982894
200380;Big žirafa s.r.o.;2564747
200381;Big žirafa s.r.o.;2664927
200382;Martin Nový;1855497
200383;Martin Nový;529294
200384;Big žirafa s.r.o.;1496631
200385;BlueNet, s.r.o.;935865
200386;GreenStyles.;1348040
200387;92019399;510878
200388;ZCZ;2173644
200389;67821984;985360
200390;Valza;578057
200391;BlueNet, s.r.o.;1522230
200392;18581928;2104017
200393;92019399;277891
200394;92019399;434302
200395;Big žirafa s.r.o.;985308
200396;ZCZ;913658
200397;Martin Nový;1523612
200398;Valza;1564915
200399;92019399;2182556
200400;18581928;783339
200401;Epic Internet a.s.;1320979
200402;92019399;1115143
200403;Epic Internet a.s.;233245
200404;92019399;2877267
200405;Epic Internet a.s.;1172406
200406;GreenStyles.;2592039
200407;Epic Internet a.s.;893130
200408;Big žirafa s.r.o.;328216
200409;GreenStyles.;1847739
200410;18581928;2585207
200411;Epic Internet a.s.;647852
200412;Valza;1437147
200413;Epic Internet a.s.;1551211
200414;Big žirafa s.r.o.;2301510
200415;Big žirafa s.r.o.;792107
200416;GreenStyles.;2714316
200417;Big žirafa s.r.o.;1465788
200418;92019399;2616805
200419;Big žirafa s.r.o.;2190232
200420;92019399;820920
200421;18581928;1006398
200422;18581928;958333
200423;Big žirafa s.r.o.;1610798
200424;Big žirafa s.r.o.;2411611
200425;67821984;2127632
200426;Martin Nový;1172430
200427;Big žirafa s.r.o.;836034
200428;ZCZ;831085
200429;18581928;2234174
200430;18581928;2471936
200431;Big žirafa s.r.o.;1734209
200432;18581928;396555
200433;Epic Internet a.s.;920407
200434;Epic Internet a.s.;2530914
200435;Martin Nový;2781556
200436;Big žirafa s.r.o.;2123830
200437;GreenStyles.;1933363
200438;GreenStyles.;605602
200439;Martin Nový;470427
200440;ZCZ;1897106
200441;Valza;2546481
200442;Martin Nový;265744
200443;67821984;2381071
200444;Valza;2229382
200445;BlueNet, s.r.o.;1137647
200446;Valza;997475
200447;18581928;2574696
200448;ZCZ;729421
200449;BlueNet, s.r.o.;1149085
200450;BlueNet, s.r.o.;780395
200451;Big žirafa s.r.o.;2283074
200452;Martin Nový;2426134
200453;18581928;2691549
200454;18581928;2180223
200455;ZCZ;2891789
200456;ZCZ;1686448
200457;67821984;2012041
200458;67821984;2505735
200459;ZCZ;1779930
200460;Big žirafa s.r.o.;1344580
200461;BlueNet, s.r.o.;1624443
200462;18581928;1554486
200463;Big žirafa s.r.o.;2676479
200464;GreenStyles.;2394456
200465;18581928;1466483
200466;18581928;408240
200467;Valza;2923665
200468;92019399;2442373
200469;ZCZ;788850
200470;GreenStyles.;2722137
200471;92019399;2788384
200472;ZCZ;1834903
200473;BlueNet, s.r.o.;1623133
200474;ZCZ;2254016
200475;Epic Internet a.s.;322800
200476;GreenStyles.;1800789
200477;18581928;2792782
200478;GreenStyles.;886180
200479;92019399;351978
200480;18581928;2560291
200481;Valza;2929394
200482;18581928;434491
200483;92019399;2040728
200484;67821984;1487549
200485;Epic Internet a.s.;2997034
200486;Martin Nový;2898349
200487;92019399;1055080
200488;92019399;1198460
200489;Epic Internet a.s.;378159
200490;Martin Nový;2377963
200491;Valza;2687594
200492;Epic Internet a.s.;271788
200493;18581928;2946692
200494;92019399;1644968
200495;BlueNet, s.r.o.;2474653
200496;Epic Internet a.s.;588962
200497;67821984;2444098
200498;18581928;444660
200499;Epic Internet a.s.;1722395
200500;67821984;1149544
200501;Big žirafa s.r.o.;542078
200502;92019399;2922680
200503;Epic Internet a.s.;355428
200504;Valza;2928671
200505;Martin Nový;777227
200506;67821984;732653
200507;ZCZ;2479029
200508;18581928;1417381
200509;Epic Internet a.s.;2786180
200510;GreenStyles.;2927692
200511;Epic Internet a.s.;1704599
200512;Valza;1813664
200513;Epic Internet a.s.;2939090
200514;92019399;2049747
200515;BlueNet, s.r.o.;2808867
200516;Martin Nový;2284870
200517;Martin Nový;2567155
200518;Big žirafa s.r.o.;2202011
200519;GreenStyles.;2113085
200520;92019399;1248168
200521;Martin Nový;2792597
200522;GreenStyles.;1383266
200523;Valza;2436635
200524;Martin Nový;2867683
200525;Epic Internet a.s.;131824
200526;Epic Internet a.s.;1439215
200527;Valza;1156815
200528;Big žirafa s.r.o.;11424
200529;67821984;2675780
200530;GreenStyles.;660432
200531;Martin Nový;567904
200532;Valza;1098547
200533;92019399;2044901
200534;18581928;647041
200535;18581928;516680
200536;Valza;2065056
200537;Martin Nový;450701
200538;BlueNet, s.r.o.;2571975
200539;Valza;1226553
200540;Martin Nový;2916595
200541;Valza;647030
200542;67821984;1377823
200543;Martin Nový;2285880
200544;Epic Internet a.s.;795938
200545;67821984;389170
200546;BlueNet, s.r.o.;2065714
200547;ZCZ;2374024
200548;92019399;2383493
200549;67821984;2892882
200550;Epic Internet a.s.;1058320
200551;92019399;2908674
200552;Big žirafa s.r.o.;796743
200553;Valza;2313172
200554;Valza;329885
200555;Valza;1393122
200556;ZCZ;2995381
200557;Valza;2919264
200558;Big žirafa s.r.o.;1618836
200559;BlueNet, s.r.o.;1105046
200560;67821984;948819
200561;18581928;1645476
200562;18581928;1229179
200563;BlueNet, s.r.o.;1573255
200564;ZCZ;1723781
200565;Big žirafa s.r.o.;754324
200566;BlueNet, s.r.o.;1224671
200567;18581928;1490059
200568;Martin Nový;2555449
200569;GreenStyles.;1761978
200570;ZCZ;1333428
200571;Big žirafa s.r.o.;2799580
200572;Martin Nový;2691956
200573;Big žirafa s.r.o.;2177117
200574;GreenStyles.;2021104
200575;Big žirafa s.r.o.;2992202
200576;92019399;871958
200577;Martin Nový;1618295
200578;Valza;2911510
200579;Epic Internet a.s.;1572028
200580;BlueNet, s.r.o.;2581967
200581;ZCZ;1854050
200582;ZCZ;947242
200583;67821984;2864273
200584;Martin Nový;1517500
200585;67821984;1963816
200586;Valza;1244740
200587;67821984;2337648
200588;Big žirafa s.r.o.;1877287
200589;BlueNet, s.r.o.;1677987
200590;BlueNet, s.r.o.;2123986
200591;ZCZ;1537557
200592;18581928;355500
200593;Big žirafa s.r.o.;890316
200594;ZCZ;2732630
200595;Big žirafa s.r.o.;1234959
200596;Big žirafa s.r.o.;2732770
200597;Big žirafa s.r.o.;1410254
200598;18581928;1699443
200599;67821984;1668716
200600;Epic Internet a.s.;2595756
200601;Epic Internet a.s.;153561
200602;Valza;740293
200603;GreenStyles.;2063141
200604;Valza;2637729
200605;18581928;421860
200606;Big žirafa s.r.o.;2907053
200607;ZCZ;2231791
200608;Martin Nový;104610
200609;BlueNet, s.r.o.;768515
200610;BlueNet, s.r.o.;1185802
200611;Martin Nový;197225
200612;GreenStyles.;221047
200613;BlueNet, s.r.o.;804821
200614;Valza;580743
200615;Big žirafa s.r.o.;1195493
200616;Epic Internet a.s.;260478
200617;Epic Internet a.s.;525487
200618;Epic Internet a.s.;1347121
200619;92019399;1532614
200620;18581928;1423347
200621;GreenStyles.;2723724
200622;92019399;1124418
200623;18581928;1886242
200624;GreenStyles.;559446
200625;18581928;1198704
200626;Big žirafa s.r.o.;2234029
200627;Martin Nový;1266647
200628;Epic Internet a.s.;2749372
200629;Martin Nový;1720286
200630;ZCZ;2165995
200631;67821984;1409426
200632;Martin Nový;943576
200633;Big žirafa s.r.o.;2825911
200634;Valza;574052
200635;BlueNet, s.r.o.;2435495
200636;BlueNet, s.r.o.;1661654
200637;GreenStyles.;2992207
200638;Big žirafa s.r.o.;2748747
200639;92019399;1361855
200640;Valza;673289
200641;92019399;964087
200642;Big žirafa s.r.o.;-13810
200643;GreenStyles.;454313
200644;Martin Nový;1428846
200645;Big žirafa s.r.o.;558270
200646;BlueNet, s.r.o.;1255901
200647;Epic Internet a.s.;2931847
200648;Martin Nový;2155185
200649;ZCZ;2511633
200650;ZCZ;2496673
200651;92019399;204381
200652;Martin Nový;2430343
200653;Martin Nový;1728489
200654;Valza;1466616
200655;Big žirafa s.r.o.;785142
200656;67821984;2430879
200657;Valza;493535
200658;92019399;2197698
200659;18581928;590276
200660;ZCZ;1836197
200661;Valza;2555721
200662;67821984;2889135
200663;Epic Internet a.s.;2639841
200664;67821984;868429
200665;Valza;447279
200666;Valza;1631079
200667;92019399;1653604
200668;Epic Internet a.s.;1163087
200669;Epic Internet a.s.;113603
200670;Big žirafa s.r.o.;1468535
200671;67821984;2840641
200672;Big žirafa s.r.o.;552529
200673;Epic Internet a.s.;1239286
200674;ZCZ;711247
200675;Martin Nový;2715723
200676;Big žirafa s.r.o.;1929707
200677;Valza;2513305
200678;18581928;2165254
200679;67821984;677438
200680;Valza;1117491
200681;ZCZ;2831274
200682;BlueNet, s.r.o.;166034
200683;Big žirafa s.r.o.;644492
200684;18581928;2710027
200685;Epic Internet a.s.;2907093
200686;92019399;945913
200687;Big žirafa s.r.o.;364664
200688;92019399;257711
200689;Valza;2031880
200690;BlueNet, s.r.o.;2168201
200691;Valza;1516296
200692;92019399;1144595
200693;92019399;593026
200694;ZCZ;2557247
200695;Martin Nový;825842
200696;Martin Nový;2110212
200697;18581928;2060291
200698;Big žirafa s.r.o.;2840493
200699;Martin Nový;1732354
200700;Valza;621518
200701;GreenStyles.;304734
200702;BlueNet, s.r.o.;329866
200703;Valza;396840
200704;Martin Nový;575123
200705;92019399;1369154
200706;Epic Internet a.s.;2138666
200707;Epic Internet a.s.;985189
200708;BlueNet, s.r.o.;971899
200709;Big žirafa s.r.o.;2252994
200710;GreenStyles.;1649244
200711;BlueNet, s.r.o.;415579
200712;BlueNet, s.r.o.;1039500
200713;92019399;566171
200714;Valza;2923175
200715;Valza;2720809
200716;BlueNet, s.r.o.;1875598
200717;GreenStyles.;2208822
200718;Valza;2815744
200719;92019399;1487612
200720;Martin Nový;251326
200721;GreenStyles.;1781402
200722;Big žirafa s.r.o.;1187287
200723;GreenStyles.;1666108
200724;67821984;2610072
200725;Martin Nový;1624046
200726;ZCZ;1644983
200727;ZCZ;394609
200728;18581928;1992440
200729;Epic Internet a.s.;591020
200730;BlueNet, s.r.o.;1613040
200731;ZCZ;496232
200732;Epic Internet a.s.;2912355
200733;BlueNet, s.r.o.;614471
200734;18581928;1764408
200735;Big žirafa s.r.o.;1472619
200736;Epic Internet a.s.;1475377
200737;Big žirafa s.r.o.;902325
200738;92019399;475528
200739;Martin Nový;2562819
200740;67821984;1559996
200741;Martin Nový;2164001
200742;Epic Internet a.s.;2396824
200743;ZCZ;2980489
200744;GreenStyles.;268297
200745;Big žirafa s.r.o.;345278
200746;18581928;295619
200747;92019399;1401563
200748;18581928;70273
200749;Valza;2285859
200750;GreenStyles.;1123801
200751;Valza;1701765
200752;Big žirafa s.r.o.;716703
200753;Valza;1145756
200754;18581928;2796147
200755;ZCZ;1019340
200756;ZCZ;1848990
200757;Epic Internet a.s.;1444606
200758;67821984;1123621
200759;BlueNet, s.r.o.;1195717
200760;18581928;1824465
200761;GreenStyles.;2241182
200762;Big žirafa s.r.o.;1817923
200763;Epic Internet a.s.;2494374
200764;67821984;1414452
200765;18581928;1172112
200766;Big žirafa s.r.o.;791964
200767;Valza;1734823
200768;Big žirafa s.r.o.;2581176
200769;92019399;2412227
200770;92019399;982571
200771;Martin Nový;-3549
200772;67821984;1525560
200773;BlueNet, s.r.o.;60353
200774;GreenStyles.;393118
200775;BlueNet, s.r.o.;1615149
200776;BlueNet, s.r.o.;2811732
200777;18581928;1198179
200778;GreenStyles.;1661961
200779;Big žirafa s.r.o.;2226611
200780;Martin Nový;823492
200781;ZCZ;1319308
200782;92019399;484851
200783;67821984;403334
200784;Epic Internet a.s.;1136332
200785;Big žirafa s.r.o.;-14281
200786;Valza;2460628
200787;18581928;390012
200788;Big žirafa s.r.o.;2719162
200789;Valza;-17861
200790;Big žirafa s.r.o.;2715315
200791;ZCZ;2724718
200792;Valza;2139820
200793;Martin Nový;519121
200794;ZCZ;356119
200795;92019399;2908758
200796;ZCZ;1943878
200797;BlueNet, s.r.o.;2233948
200798;Martin Nový;749088
200799;GreenStyles.;1079809
200800;67821984;1093833
200801;ZCZ;1984663
200802;Epic Internet a.s.;2537818
200803;67821984;1981143
200804;Epic Internet a.s.;177972
200805;BlueNet, s.r.o.;1662052
200806;67821984;1400709
200807;Valza;1230371
200808;18581928;1622916
200809;BlueNet, s.r.o.;2116386
200810;92019399;1515221
200811;ZCZ;2830146
200812;ZCZ;740490
200813;Valza;34504
200814;Big žirafa s.r.o.;134781
200815;18581928;355838
200816;92019399;59335
200817;ZCZ;944485
200818;Big žirafa s.r.o.;1918310
200819;ZCZ;2445450
200820;Big žirafa s.r.o.;209780
200821;18581928;91730
200822;67821984;2592312
200823;18581928;2904858
200824;BlueNet, s.r.o.;1207896
200825;92019399;1241898
200826;18581928;1320409
200827;BlueNet, s.r.o.;1342851
200828;18581928;9366
200829;18581928;915690
200830;Martin Nový;1711638
200831;Epic Internet a.s.;1430837
200832;GreenStyles.;920786
200833;92019399;1832961
200834;BlueNet, s.r.o.;1173783
200835;Valza;2898014
200836;92019399;1471969
200837;Martin Nový;1548656
200838;92019399;1553389
200839;67821984;700590
200840;ZCZ;1362521
200841;GreenStyles.;1710726
200842;18581928;386658
200843;18581928;1794470
200844;Valza;71174
200845;GreenStyles.;2579878
200846;18581928;2091519
200847;67821984;1280893
200848;67821984;221615
200849;GreenStyles.;1363300
200850;GreenStyles.;-8010
200851;67821984;1439559
200852;Big žirafa s.r.o.;-11002
200853;Epic Internet a.s.;2688850
200854;18581928;929640
200855;Martin Nový;2102529
200856;18581928;2361650
200857;Epic Internet a.s.;651810
200858;67821984;2315389
200859;Valza;1099113
200860;ZCZ;67241
200861;ZCZ;573625
200862;Big žirafa s.r.o.;2696959
200863;92019399;1207276
200864;BlueNet, s.r.o.;2945159
200865;ZCZ;216182
200866;ZCZ;1094970
200867;BlueNet, s.r.o.;2455663
200868;92019399;1045376
200869;Big žirafa s.r.o.;1666936
200870;ZCZ;2194159
200871;ZCZ;5777
200872;92019399;1666752
200873;Valza;1383601
200874;BlueNet, s.r.o.;916144
200875;Martin Nový;2179847
200876;GreenStyles.;1985126
200877;Martin Nový;1051104
200878;Big žirafa s.r.o.;2831204
200879;92019399;2995889
200880;92019399;277629
200881;Valza;724194
200882;Martin Nový;1562625
200883;Big žirafa s.r.o.;307796
200884;18581928;2328781
200885;ZCZ;1657860
200886;18581928;1115835
200887;GreenStyles.;453543
200888;Valza;1053999
200889;92019399;632432
200890;Big žirafa s.r.o.;2862831
200891;Big žirafa s.r.o.;2812030
200892;18581928;614011
200893;Martin Nový;438301
200894;GreenStyles.;1769455
200895;BlueNet, s.r.o.;2931795
200896;ZCZ;2144022
200897;Big žirafa s.r.o.;1773705
200898;Martin Nový;1942803
200899;92019399;1580544
200900;67821984;2147046
200901;92019399;1675827
200902;18581928;2663054
200903;Martin Nový;1541327
200904;Martin Nový;1939819
200905;18581928;1350899
200906;18581928;2697327
200907;18581928;1207431
200908;Big žirafa s.r.o.;2794641
200909;18581928;744235
200910;Valza;2967971
200911;18581928;2585038
200912;ZCZ;192971
200913;Valza;1724358
200914;67821984;933054
200915;Big žirafa s.r.o.;2457875
200916;18581928;2478853
200917;Valza;8642
200918;92019399;1489941
200919;Epic Internet a.s.;1923117
200920;Valza;1503386
200921;18581928;2766926
200922;Epic Internet a.s.;1831504
200923;67821984;2988934
200924;67821984;882861
200925;Martin Nový;1007571
200926;ZCZ;718911
200927;Big žirafa s.r.o.;2862668
200928;ZCZ;2207284
200929;92019399;2476942
200930;18581928;540277
200931;Big žirafa s.r.o.;51648
200932;BlueNet, s.r.o.;1870076
200933;67821984;1652019
200934;92019399;2327341
200935;67821984;2789096
200936;67821984;135114
200937;Valza;2314232
200938;Valza;1954482
200939;Valza;2638581
200940;67821984;227469
200941;Big žirafa s.r.o.;2408416
200942;GreenStyles.;2888036
200943;Epic Internet a.s.;863877
200944;Big žirafa s.r.o.;2857604
200945;GreenStyles.;895853
200946;92019399;207802
200947;92019399;1790022
200948;Martin Nový;455888
200949;ZCZ;449303
200950;Epic Internet a.s.;1764059
200951;Valza;1682945
200952;67821984;1127378
200953;67821984;1019064
200954;Big žirafa s.r.o.;1632832
200955;Epic Internet a.s.;443949
200956;BlueNet, s.r.o.;2638611
200957;67821984;533109
200958;18581928;2804515
200959;Big žirafa s.r.o.;1177472
200960;67821984;295933
200961;ZCZ;1196910
200962;Valza;151298
200963;BlueNet, s.r.o.;1569193
200964;Epic Internet a.s.;2623247
200965;67821984;1356677
200966;GreenStyles.;1124052
200967;Martin Nový;2192384
200968;GreenStyles.;1682338
200969;Martin Nový;565880
200970;18581928;1693173
200971;ZCZ;1954374
200972;92019399;2668080
200973;GreenStyles.;588385
200974;GreenStyles.;1346699
200975;18581928;131494
200976;BlueNet, s.r.o.;1602341
200977;GreenStyles.;2793073
200978;67821984;655000
200979;Martin Nový;2903886
200980;Epic Internet a.s.;706034
200981;Valza;2029611
200982;ZCZ;2254672
200983;Big žirafa s.r.o.;634480
